,_id,date_created,regular_price,sale_price,three_months,date_paid,customer_id,paid,name_x,category_id_y,product_ids,quantity,price,price_total,age_group,한의사 여부,사업자 여부,cancelled,name,slug
783,630ffd9d974f2b0022f85faf,2022-08-19T06:35:47.781Z,35000.0,31500.0,354.0,2022-09-01 00:33:05.729000+00:00,5e042abf4267e105dfff008a,True,초음파 유도하 침 시술 가이드북,5cf8bbba0098b2225c5dfaa3,62ff2f43ca740b0024397ca4,1.0,31500.0,31500.0,40-49,1.0,1.0,False,도서,book
784,630ffca1974f2b0022f85f76,2022-08-19T06:35:47.781Z,35000.0,31500.0,354.0,2022-09-01 00:34:07+00:00,5f2bd6c4a0b91001bf48ba07,True,초음파 유도하 침 시술 가이드북,5cf8bbba0098b2225c5dfaa3,62ff2f43ca740b0024397ca4,1.0,31500.0,31500.0,20-29,0.0,0.0,False,도서,book
785,630ffe02974f2b0022f85fbb,2022-08-19T06:35:47.781Z,35000.0,31500.0,354.0,2022-09-01 00:34:35.829000+00:00,5d96995b0dabe405b156da56,True,초음파 유도하 침 시술 가이드북,5cf8bbba0098b2225c5dfaa3,62ff2f43ca740b0024397ca4,1.0,31500.0,31500.0,20-29,0.0,1.0,False,도서,book
786,630ffd8e974f2b0022f85fa9,2022-08-19T06:35:47.781Z,35000.0,31500.0,354.0,2022-09-01 00:34:56.710000+00:00,5d6644844e77525ec5ca1764,True,초음파 유도하 침 시술 가이드북,5cf8bbba0098b2225c5dfaa3,62ff2f43ca740b0024397ca4,1.0,31500.0,31500.0,50-59,1.0,1.0,False,도서,book
787,630ffdec974f2b0022f85fb7,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-09-01 00:35:00.978000+00:00,5f69740148060c52caf14d7c,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,20-29,1.0,1.0,False,도서,book
788,630ffd23974f2b0022f85f95,2022-08-19T06:35:47.781Z,35000.0,31500.0,354.0,2022-09-01 00:35:31+00:00,5e5fa99abfe4260944782d87,True,초음파 유도하 침 시술 가이드북,5cf8bbba0098b2225c5dfaa3,62ff2f43ca740b0024397ca4,1.0,31500.0,31500.0,20-29,1.0,0.0,False,도서,book
789,630ffd23974f2b0022f85f93,2022-08-19T06:35:47.781Z,35000.0,31500.0,354.0,2022-09-01 00:38:00+00:00,600e728e2c593a001ace88be,True,초음파 유도하 침 시술 가이드북,5cf8bbba0098b2225c5dfaa3,62ff2f43ca740b0024397ca4,1.0,31500.0,31500.0,,1.0,0.0,False,도서,book
790,630ffed1974f2b0022f85fe3,2022-08-19T06:35:47.781Z,35000.0,31500.0,354.0,2022-09-01 00:38:55.878000+00:00,5e1aa2f94267e105dfff0777,True,초음파 유도하 침 시술 가이드북,5cf8bbba0098b2225c5dfaa3,62ff2f43ca740b0024397ca4,1.0,31500.0,31500.0,20-29,1.0,1.0,False,도서,book
791,630fff16974f2b0022f85ff1,2022-08-19T06:35:47.781Z,35000.0,31500.0,354.0,2022-09-01 00:39:27.300000+00:00,5e5fb67cbfe4260944782d88,True,초음파 유도하 침 시술 가이드북,5cf8bbba0098b2225c5dfaa3,62ff2f43ca740b0024397ca4,1.0,31500.0,31500.0,30-39,1.0,0.0,False,도서,book
792,630ffef8974f2b0022f85feb,2022-08-19T06:35:47.781Z,35000.0,31500.0,354.0,2022-09-01 00:39:47.564000+00:00,5e880b05bfe4260944784b72,True,초음파 유도하 침 시술 가이드북,5cf8bbba0098b2225c5dfaa3,62ff2f43ca740b0024397ca4,1.0,31500.0,31500.0,20-29,1.0,0.0,False,도서,book
793,630ffe7d974f2b0022f85fd2,2022-08-23T06:07:15.330Z,49000.0,46600.0,227.0,2022-09-01 00:39:49+00:00,60239d062c593a001acea1c3,True,영어 진료 가이드북 ,5cf8bbba0098b2225c5dfaa3,63046e9358e1680033a580d6,1.0,44100.0,44100.0,,0.0,0.0,False,도서,book
794,630ffefb974f2b0022f85fed,2022-08-19T06:35:47.781Z,35000.0,31500.0,354.0,2022-09-01 00:40:15+00:00,5daf9e520dabe405b156f082,True,초음파 유도하 침 시술 가이드북,5cf8bbba0098b2225c5dfaa3,62ff2f43ca740b0024397ca4,1.0,31500.0,31500.0,40-49,1.0,1.0,False,도서,book
795,630fff46974f2b0022f85ff7,2022-08-19T06:35:47.781Z,35000.0,31500.0,354.0,2022-09-01 00:40:25.001000+00:00,5dc3d5252bb59605ca3cf815,True,초음파 유도하 침 시술 가이드북,5cf8bbba0098b2225c5dfaa3,62ff2f43ca740b0024397ca4,1.0,31500.0,31500.0,40-49,1.0,1.0,False,도서,book
796,630fff68974f2b0022f85ffd,2020-11-30T15:08:15.268Z,50000.0,45000.0,16.0,2022-09-01 00:41:06.041000+00:00,6004f3b1701119001a10d76b,True,망설식병,5cf8bbba0098b2225c5dfaa3,5fc50adfce872a1a803a8eea,1.0,45000.0,45000.0,20-29,1.0,0.0,False,도서,book
797,630fff9d974f2b0022f86007,2022-08-19T06:35:47.781Z,35000.0,31500.0,354.0,2022-09-01 00:42:42.025000+00:00,5d6f743319efa30eb29140af,True,초음파 유도하 침 시술 가이드북,5cf8bbba0098b2225c5dfaa3,62ff2f43ca740b0024397ca4,1.0,31500.0,31500.0,20-29,1.0,0.0,False,도서,book
